"identifier","river","location","erected","purpose","length","lanes","clear-g","T_or_D","material","span","rel_l","type"
"1","E1","M","3",1818,"HIGHWAY","?","2","N","THROUGH","WOOD","SHORT","S","WOOD"
"2","E2","A","25",1819,"HIGHWAY","1037","2","N","THROUGH","WOOD","SHORT","S","WOOD"
"3","E3","A","39",1829,"AQUEDUCT","?","1","N","THROUGH","WOOD","?","S","WOOD"
"4","E5","A","29",1837,"HIGHWAY","1000","2","N","THROUGH","WOOD","SHORT","S","WOOD"
"5","E6","M","23",1838,"HIGHWAY","?","2","N","THROUGH","WOOD","?","S","WOOD"
"6","E7","A","27",1840,"HIGHWAY","990","2","N","THROUGH","WOOD","MEDIUM","S","WOOD"
"7","E8","A","28",1844,"AQUEDUCT","1000","1","N","THROUGH","IRON","SHORT","S","SUSPEN"
"8","E9","M","3",1846,"HIGHWAY","1500","2","N","THROUGH","IRON","SHORT","S","SUSPEN"
"9","E10","A","39",1848,"AQUEDUCT","?","1","N","DECK","WOOD","?","S","WOOD"
"10","E11","A","29",1851,"HIGHWAY","1000","2","N","THROUGH","WOOD","MEDIUM","S","WOOD"
"11","E12","A","39",1853,"RR","?","2","N","DECK","WOOD","?","S","WOOD"
"12","E14","M","6",1856,"HIGHWAY","1200","2","N","THROUGH","WOOD","MEDIUM","S","WOOD"
"13","E13","A","33",1856,"HIGHWAY","?","2","N","THROUGH","WOOD","?","S","WOOD"
"14","E15","A","28",1857,"RR","?","2","N","THROUGH","WOOD","?","S","WOOD"
"15","E16","A","25",1859,"HIGHWAY","1030","2","N","THROUGH","IRON","MEDIUM","S-F","SUSPEN"
"16","E17","M","4",1863,"RR","1000","2","N","THROUGH","IRON","MEDIUM","?","SIMPLE-T"
"17","E18","A","28",1864,"RR","1200","2","N","THROUGH","IRON","SHORT","S","SIMPLE-T"
"18","E19","A","29",1866,"HIGHWAY","1000","2","N","THROUGH","WOOD","MEDIUM","S","WOOD"
"19","E20","A","32",1870,"HIGHWAY","1000","2","N","THROUGH","WOOD","MEDIUM","S","WOOD"
"20","E21","M","16",1874,"RR","?","2","?","THROUGH","IRON","?","?","SIMPLE-T"
"21","E23","M","1",1876,"HIGHWAY","1245","?","?","THROUGH","STEEL","LONG","F","SUSPEN"
"22","E22","A","24",1876,"HIGHWAY","1200","4","G","THROUGH","WOOD","SHORT","S","WOOD"
"23","E24","O","45",1878,"RR","?","2","G","?","STEEL","?","?","SIMPLE-T"
"24","E25","M","10",1882,"RR","?","2","G","?","STEEL","?","?","SIMPLE-T"
"25","E27","A","39",1883,"RR","?","2","G","THROUGH","STEEL","?","F","SIMPLE-T"
"26","E26","M","12",1883,"RR","1150","2","G","THROUGH","STEEL","MEDIUM","S","SIMPLE-T"
"27","E30","A","31",1884,"RR","?","2","G","THROUGH","STEEL","MEDIUM","F","SIMPLE-T"
"28","E29","A","26",1884,"HIGHWAY","1080","2","G","THROUGH","STEEL","MEDIUM","?","SUSPEN"
"29","E28","M","3",1884,"HIGHWAY","1000","2","G","THROUGH","STEEL","MEDIUM","S","ARCH"
"30","E32","A","30",1887,"HIGHWAY","?","2","G","THROUGH","IRON","MEDIUM","F","SIMPLE-T"
"31","E31","M","8",1887,"RR","1161","2","G","THROUGH","STEEL","MEDIUM","S","SIMPLE-T"
"32","E34","O","41",1888,"RR","4558","2","G","THROUGH","STEEL","LONG","F","SIMPLE-T"
"33","E33","M","19",1889,"HIGHWAY","1120","?","G","THROUGH","IRON","MEDIUM","F","SIMPLE-T"
"34","E36","O","45",1890,"HIGHWAY","?","2","G","THROUGH","IRON","SHORT","F","SIMPLE-T"
